SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME
"2003","SOUTH PHILA HEAD START","SOUTH PHILA HEAD START","2101 S. BROAD ST.","19148",,"PHILADELPHIA","PA","2152713160","PK","PK",,"EARLY CHILDHOOD"
"2721","VARE, A. SCHOOL BRIGHT FUTURES","VARE, A. SCHOOL BRIGHT FUTURES","1621 E. MOYAMENSING AVE.","19148",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"2422","REYNOLDS HEAD START","REYNOLDS HEAD START","1429 N. 24TH ST.","19121",,"PHILADELPHIA","PA","2157630819","PK","PK",,"EARLY CHILDHOOD"
"2512","JACKSON HEAD START","JACKSON HEAD START","1213 S. 12TH ST.","19147",,"PHILADELPHIA","PA","2152712340","PK","PK",,"EARLY CHILDHOOD"
"2632","SHARSWOOD HEAD START","SHARSWOOD HEAD START","2300 S. 2ND ST.","19148",,"PHILADELPHIA","PA","2154671858","PK","PK",,"EARLY CHILDHOOD"
"2692","TAGGART HEAD START","TAGGART HEAD START","400 W. PORTER ST.","19148",,"PHILADELPHIA","PA",,"PK","PK",,"EARLY CHILDHOOD"
"2732","GEORGE WASHINGTON HEAD START","WASHINGTON, GEORGE-HEAD START","1198 S. 5TH ST.","19147",,"PHILADELPHIA","PA","2154672045","PK","PK",,"EARLY CHILDHOOD"
"2242","BREGY HEAD START","BREGY HEAD START","1700 BIGLER ST.","19145",,"PHILADELPHIA","PA","2154671956","PK","PK",,"EARLY CHILDHOOD"
"2392","MORRIS HEAD START","MORRIS HEAD START","2600 W. THOMPSON ST.","19121",,"PHILADELPHIA","PA","2152363142","PK","PK",,"EARLY CHILDHOOD"
"8272","HOLME HEAD START","HOLME HEAD START","9120 ACADEMY RD.","19114",,"PHILADELPHIA","PA","2156243760","PK","PK",,"EARLY CHILDHOOD"
